drug,smiles,pubchem_cid,targets,moa_broad,moa_fine
Silodosin,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,5312125.0,"ADRA1A, ADRA1B, ADRA1D",inhibitor/antagonist,unclear
Darolutamide,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,67171867.0,AR,inhibitor/antagonist,Androgen receptor antagonist
Benproperine (phosphate),CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3.OP(=O)(O)O,167811.0,ARPC2,inhibitor/antagonist,unclear
Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,2375.0,AR,inhibitor/antagonist,Androgen receptor antagonist
Captopril,CC(CS)C(=O)N1CCCC1C(=O)O,44093.0,ACE,inhibitor/antagonist,unclear
Tirabrutinib,CC#CC(=O)N1CCC(C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N,54755438.0,BTK,inhibitor/antagonist,Other TK inhibitor
Tirabrutinib (hydrochloride),CC#CC(=O)N1CCC(C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N.Cl,71571562.0,BTK,inhibitor/antagonist,Other TK inhibitor
Mifepristone,CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,55245.0,"NR3C1, PGR",inhibitor/antagonist,unclear
Fostamatinib (disodium hexahydrate),CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)([O-])[O-])C.O.O.O.O.O.O.[Na+].[Na+],146673142.0,"SYK, FLT3, LYN, LCK",inhibitor/antagonist,Other TK inhibitor
Temuterkib,CC1(C2=C(C=C(S2)C3=NC(=NC=C3)NC4=CC=NN4C)C(=O)N1CCN5CCOCC5)C,121408882.0,,inhibitor/antagonist,Other MAPK inhibitor
Tetracycline (hydrochloride),CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426.0,,unclear,unclear
Glycyrrhizic acid,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,14982.0,,inhibitor/antagonist,unclear
Diammonium Glycyrrhizinate,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.N.N,656656.0,,unclear,unclear
venetoclax,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,49846579.0,BCL2,inhibitor/antagonist,unclear
Delamanid,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCC(CC4)OC5=CC=C(C=C5)OC(F)(F)F,6480466.0,,inhibitor/antagonist,unclear
Dexmedetomidine,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,5311068.0,"ADRA2A, ADRA2B, ADRA2C",activator/agonist,Adrenoceptor agonist
Ranolazine,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,56959.0,,inhibitor/antagonist,unclear
Lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,92727.0,,inhibitor/antagonist,unclear
Valdecoxib,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,119607.0,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor
Cloxacillin (sodium),CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+],23675320.0,,inhibitor/antagonist,unclear
Elagolix sodium,CC1=C(C(=O)N(C(=O)N1CC2=C(C=CC=C2F)C(F)(F)F)CC(C3=CC=CC=C3)NCCCC(=O)[O-])C4=C(C(=CC=C4)OC)F.[Na+],24785956.0,GNRHR,inhibitor/antagonist,unclear
palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,5330286.0,"CDK4, CDK6",inhibitor/antagonist,CDK inhibitor
Retinoic acid,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,444795.0,"RARB, RARG, RARA, PPARD",activator/agonist,Retinoic receptor agonist
PH-797804,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C,22049997.0,MAPK14,inhibitor/antagonist,Other MAPK inhibitor
Ponatinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,24826799.0,"ABL1, PDGFRA, KDR, FGFR1, SRC, KIT",inhibitor/antagonist,Multi-TK inhibitor
Radotinib,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=NC=CN=C5,16063245.0,ABL1,inhibitor/antagonist,Other TK inhibitor
NVP-BHG712,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C,16747388.0,EPHB4,inhibitor/antagonist,unclear
Canagliflozin,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,24812758.0,SLC5A2,inhibitor/antagonist,Glucose transporter inhibitor
MK-3903,CC1=C(C=C(C=C1)OC2=NC3=C(N2)C=C(C(=C3)C4=CC=C(C=C4)C5=CC=CC=C5)Cl)C(=O)O,45256689.0,PRKAA1,activator/agonist,unclear
EX229,CC1=C(C=C(C=C1)OC2=NC3=C(N2)C=C(C(=C3)C4=CC5=C(C=C4)N(C=C5)C)Cl)C(=O)O,45256693.0,PRKAA1,activator/agonist,unclear
Flumatinib (mesylate),CC1=C(C=C(C=N1)NC(=O)C2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,46910592.0,ABL1,inhibitor/antagonist,Other TK inhibitor
Tucatinib,CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)NC4=NC(CO4)(C)C)OC5=CC6=NC=NN6C=C5,51039094.0,ERBB2,inhibitor/antagonist,EGFR/ERBB inhibitor
Trimetrexate,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC,5583.0,DHFR,inhibitor/antagonist,DNA synthesis/repair inhibitor
APTO-253,CC1=C(C2=C(N1)C=CC(=C2)F)C3=NC4=C5C=CC=NC5=C6C(=C4N3)C=CC=N6,11960271.0,"MYC, KLF4",unclear,unclear
Vitamin K4,CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,11310.0,,unclear,unclear
Panobinostat,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)C=CC(=O)NO,6918837.0,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8, HDAC10, HDAC11",inhibitor/antagonist,HDAC inhibitor
Rimonabant,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,104850.0,CNR1,inhibitor/antagonist,unclear
Rimonabant (Hydrochloride),CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl.Cl,104849.0,CNR1,inhibitor/antagonist,unclear
Ligustrazine,CC1=C(N=C(C(=N1)C)C)C,14296.0,,unclear,unclear
Sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,5344.0,"EDNRA, EDNRB",inhibitor/antagonist,unclear
Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,56649450.0,PIK3CA,inhibitor/antagonist,PI3K/AKT inhibitor
Trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,11707110.0,"MAP2K1, MAP2K2",inhibitor/antagonist,MEK inhibitor
Nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,4463.0,,inhibitor/antagonist,unclear
Tomivosertib,CC1=C2C(=O)NC3(N2C(=O)C(=C1)NC4=NC=NC(=C4)N)CCCCC3,118598754.0,,inhibitor/antagonist,Protein synthesis inhibitor
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,36314.0,,unclear,Microtubule inhibitor
Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,148124.0,,inhibitor/antagonist,Microtubule inhibitor
Docetaxel (Trihydrate),CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.O.O.O,148123.0,"TUBB1, TUBB3, TUBB4B, TUBB4A, TUBB2A, TUBB2B",unclear,Microtubule inhibitor
Roxadustat,CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,11256664.0,,inhibitor/antagonist,unclear
Thymol,CC1=CC(=C(C=C1)C(C)C)O,6989.0,TRPA1,activator/agonist,unclear
Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,3463.0,"PPARA, CYP2C9, CYP2C19, CYP2C8, CYP1A2",unclear,unclear
Vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,9966051.0,"SLC6A4, HTR3A, HTR7",unclear,unclear
OTS514,CC1=CC(=C(C2=C1NC(=O)C3=C2C=CS3)C4=CC=C(C=C4)C(C)CN)O,67448836.0,MAP3K8,inhibitor/antagonist,Other MAPK inhibitor
Pralsetinib,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,129073603.0,RET,inhibitor/antagonist,Other TK inhibitor
Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O,4055.0,,unclear,unclear
Ciclopirox,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,2749.0,,unclear,unclear
Methylthiouracil,CC1=CC(=O)NC(=S)N1,667493.0,,unclear,unclear
Tolcapone,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],4659569.0,COMT,inhibitor/antagonist,unclear
Tolmetin,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,5509.0,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,2662.0,PTGS2,inhibitor/antagonist,Cyclooxygenase inhibitor
S-Adenosyl-L-methionine (disulfate tosylate),CC1=CC=C(C=C1)S(=O)(=O)O.C[S+](CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.OS(=O)(=O)O.OS(=O)(=O)[O-],9875462.0,,unclear,unclear
Lapatinib ditosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.O,11557040.0,"EGFR, ERBB2",inhibitor/antagonist,EGFR/ERBB inhibitor
LY-2584702 (tosylate salt),CC1=CC=C(C=C1)S(=O)(=O)O.CN1C=C(N=C1C2CCN(CC2)C3=NC=NC4=C3C=NN4)C5=CC(=C(C=C5)F)C(F)(F)F,46205871.0,RPS6KB1,inhibitor/antagonist,MTOR inhibitor
Edoxaban (tosylate monohydrate),CC1=CC=C(C=C1)S(=O)(=O)O.CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C.O,25022378.0,F10,inhibitor/antagonist,unclear
Lumateperone (tosylate),CC1=CC=C(C=C1)S(=O)(=O)O.CN1CCN2C3CCN(CC3C4=C2C1=CC=C4)CCCC(=O)C5=CC=C(C=C5)F,44241743.0,"HTR2A, DRD2",unclear,unclear
Mozavaptan,CC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)C(=O)N3CCCC(C4=CC=CC=C43)N(C)C,119369.0,AVPR2,inhibitor/antagonist,unclear
Bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,82146.0,"RXRA, RXRB, RXRG",activator/agonist,Retinoic receptor agonist
Sulfatinib,CC1=CC2=C(N1)C=CC(=C2)OC3=NC(=NC=C3)NC4=CC=CC(=C4)CS(=O)(=O)NCCN(C)C,52920501.0,"FLT1, KDR, FLT4, FGFR1, CSF1R",inhibitor/antagonist,Multi-TK inhibitor
Olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,135398745.0,"HTR2A, HTR2C, DRD2, DRD4, ADRA1A, ADRA1B, ADRA1D, HTR6, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",inhibitor/antagonist,unclear
AZD-7648,CC1=CC2=NC=NN2C=C1NC3=NC=C4C(=N3)N(C(=O)N4C)C5CCOCC5,135151360.0,PRKDC,inhibitor/antagonist,DNA synthesis/repair inhibitor
Megestrol,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,19090.0,,unclear,unclear
Omeprazole (sodium),CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=C(C=C3)OC.[Na+],12108541.0,,inhibitor/antagonist,unclear
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,4594.0,,inhibitor/antagonist,unclear
Fedratinib (hydrochloride hydrate),CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4.O.Cl.Cl,67517580.0,"JAK2, FLT3, RET",inhibitor/antagonist,JAK/STAT inhibitor
Meloxicam,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,54677470.0,"PTGS1, PTGS2",inhibitor/antagonist,Cyclooxygenase inhibitor
Pyridoxine,CC1=NC=C(C(=C1O)CO)CO,1054.0,,unclear,unclear
Pyridoxine (hydrochloride),CC1=NC=C(C(=C1O)CO)CO.Cl,6019.0,,unclear,unclear
Ornidazole,CC1=NC=C(N1CC(CCl)O)[N+](=O)[O-],28061.0,,unclear,unclear
Raltitrexed,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1,135400182.0,TYMS,inhibitor/antagonist,DNA synthesis/repair inhibitor
BI-3406,CC1=NC2=CC(=C(C=C2C(=N1)NC(C)C3=CC(=CC(=C3)N)C(F)(F)F)OC4CCOC4)OC,138911318.0,"KRAS, SOS1",inhibitor/antagonist,RAS inhibitor
Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,31307.0,NR3C1,unclear,Glucocorticoid receptor agonist
Drospirenone,CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C,68873.0,,unclear,unclear
Eplerenone,CC12CCC(=O)C=C1CC(C3C24C(O4)CC5(C3CCC56CCC(=O)O6)C)C(=O)OC,443872.0,NR3C2,inhibitor/antagonist,unclear
Quinestrol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,9046.0,,unclear,unclear
Estrone sulfate (potassium),CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[K+],23674502.0,,unclear,unclear
Finasteride,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,57363.0,SRD5A2,inhibitor/antagonist,unclear
Fulvestrant,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,104741.0,ESR1,inhibitor/antagonist,unclear
Monocrotaline,CC1C(=O)OC2CCN3C2C(=CC3)COC(=O)C(C1(C)O)(C)O,9415.0,"SLC22A1, SLC22A2",inhibitor/antagonist,unclear
Ouabain (Octahydrate),CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O.O.O.O.O.O.O.O.O,6364534.0,,unclear,unclear
Rutin (trihydrate),CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O.O.O.O,16218542.0,,unclear,unclear
Hesperidin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,10621.0,,unclear,unclear
Digitoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,441207.0,,unclear,unclear
Doxorubicin (hydrochloride),CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,443939.0,"TOP2A, TOP2B, TOP1",inhibitor/antagonist,DNA synthesis/repair inhibitor
Epirubicin (hydrochloride),CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,65348.0,TOP2A,inhibitor/antagonist,DNA synthesis/repair inhibitor
Idarubicin (hydrochloride),CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl,636362.0,TOP2A,inhibitor/antagonist,DNA synthesis/repair inhibitor
Plicamycin,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,163659.0,"SP1, GSTM2",inhibitor/antagonist,unclear
Rifaximin,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,6436173.0,,unclear,unclear
Doxycycline (monohydrate),CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.O,54684461.0,"MMP7, MMP8, MMP9, MMP13, MMP14",inhibitor/antagonist,unclear
Fusidic acid,CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C,3000226.0,,inhibitor/antagonist,unclear
Ipatasertib,CC1CC(C2=C1C(=NC=N2)N3CCN(CC3)C(=O)C(CNC(C)C)C4=CC=C(C=C4)Cl)O,24788740.0,"AKT1, AKT2, AKT3",inhibitor/antagonist,PI3K/AKT inhibitor
Medroxyprogesterone acetate,CC1CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,6279.0,PGR,unclear,unclear
Methylprednisolone succinate,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)O)O,16923.0,NR3C1,unclear,Glucocorticoid receptor agonist
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,5743.0,NR3C1,activator/agonist,Glucocorticoid receptor agonist
Dihydroartemisinin,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)O)C,3000518.0,,unclear,unclear
Artesunate,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,6917864.0,,inhibitor/antagonist,JAK/STAT inhibitor
Artemether,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C,68911.0,,unclear,unclear
Rapamycin,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,5284616.0,"MTOR, FKBP1A",inhibitor/antagonist,MTOR inhibitor
Temsirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,6918289.0,MTOR,inhibitor/antagonist,MTOR inhibitor
Everolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,6442177.0,"MTOR, FKBP1A",inhibitor/antagonist,MTOR inhibitor
Tofacitinib,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,9926791.0,"JAK1, JAK2, JAK3",inhibitor/antagonist,JAK/STAT inhibitor
Tofacitinib (citrate),CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,10174505.0,"JAK1, JAK2, JAK3",inhibitor/antagonist,JAK/STAT inhibitor
Sonidegib,CC1CN(CC(O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F,24775005.0,SMO,inhibitor/antagonist,Sonic inhibitor
AZD-8055,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,25262965.0,MTOR,inhibitor/antagonist,MTOR inhibitor
Elimusertib hydrochloride,CC1COCCN1C2=NC3=C(C=CN=C3C4=CC=NN4)C(=C2)C5=CC=NN5C,118869362.0,ATR,inhibitor/antagonist,unclear
Clobetasol propionate,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,32798.0,"CYP3A5,CYP3A4",inhibitor/antagonist,unclear
Betamethasone dipropionate,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,21800.0,NR3C1,activator/agonist,Glucocorticoid receptor agonist
Posaconazole,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,468595.0,,unclear,unclear
Pravastatin (sodium),CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)[O-])O)O)O.[Na+],16759173.0,HMGCR,inhibitor/antagonist,unclear
Ivermectin,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,6321424.0,,unclear,unclear
Topotecan (hydrochloride),CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl,60699.0,TOP1,inhibitor/antagonist,DNA synthesis/repair inhibitor
Vinblastine (sulfate),CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,5388983.0,,inhibitor/antagonist,Microtubule inhibitor
vincristine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,249332.0,,inhibitor/antagonist,Microtubule inhibitor
Indacaterol (maleate),CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=CC(=O)O)C(=O)O,9827599.0,ADRB2,activator/agonist,Adrenoceptor agonist
Pimitespib,CCC1=C(C=CC(=C1)C(=O)N)N2C3=NC=CC(=C3C(=N2)C(C)C)N4C=C(N=C4)C5=CN(N=C5)C,67501411.0,"HSP90AA1, HSP90AB1",inhibitor/antagonist,unclear
Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,60838.0,TOP1,inhibitor/antagonist,DNA synthesis/repair inhibitor
Irinotecan (hydrochloride),CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.Cl,74990.0,TOP1,inhibitor/antagonist,DNA synthesis/repair inhibitor
Dinaciclib,CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCO,46926350.0,"CDK1, CDK2, CDK5, CDK9",inhibitor/antagonist,CDK inhibitor
Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,4829.0,PPARG,activator/agonist,unclear
Volasertib,CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C,10461508.0,"PLK1, PLK2, PLK3",inhibitor/antagonist,unclear
