compound_embedding_row_index,compound_name,model_prediction_group,moa,moa_annotation
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",Most predictable,"RNA synthesis inhibitor | topoisomerase inhibitor; RNA synthesis inhibitor, Topoisomerase inhibitor","RNA synthesis inhibitor, Topoisomerase inhibitor"
1827,Geldanamycin; geldanamycin,Most predictable,HSP inhibitor,HSP inhibitor
4527,topotecan,Most predictable,Topoisomerase inhibitor,Topoisomerase inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Most predictable,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,CHK1 Expression Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Most predictable,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,HSP inhibitor
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Most predictable,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Heat Shock Protein 90 (hsp90) Inhibitors
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",Most predictable,CHK1 Expression Inhibitors;Inhibitors of Signal Transduction Pathways;Heat Shock Protein 90 (hsp90) Inhibitors; HSP inhibitor,Inhibitors of Signal Transduction Pathways
2275,Epirubicin; epirubicin,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
2275,Epirubicin; epirubicin,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,topoisomerase inhibitor
3589,"(Z)-3-[3-[3,5-bis(trifluoromethyl)phenyl]-1,2,4-triazol-1-yl]-N'-pyrazin-2-ylprop-2-enehydrazide; Selinexor",Least predictable,Exportin 1 inhibitor; exportin antagonist,Exportin 1 inhibitor
3589,"(Z)-3-[3-[3,5-bis(trifluoromethyl)phenyl]-1,2,4-triazol-1-yl]-N'-pyrazin-2-ylprop-2-enehydrazide; Selinexor",Least predictable,Exportin 1 inhibitor; exportin antagonist,exportin antagonist
1880,Wortmannin from Penicillium funiculosum; wortmannin,Most predictable,PI3K inhibitor,PI3K inhibitor
295,Idarubicin; idarubicin,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
295,Idarubicin; idarubicin,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,topoisomerase inhibitor
5028,PD-0325901,Most predictable,"MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor","MEK inhibitor, Protein kinase inhibitor, MAP kinase inhibitor"
3990,Narciclasine; narciclasine,Most predictable,"LIM kinase activator, Coflilin signaling pathway activator, Rho associated kinase activator","LIM kinase activator, Coflilin signaling pathway activator, Rho associated kinase activator"
4018,Mitoxantrone; mitoxantrone,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
4018,Mitoxantrone; mitoxantrone,Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,topoisomerase inhibitor
706,Withaferin A; withaferin-a,Most predictable,IKK inhibitor,IKK inhibitor
4528,camptothecin,Most predictable,Topoisomerase inhibitor,Topoisomerase inhibitor
4646,emetine,Most predictable,Protein synthesis inhibitor,Protein synthesis inhibitor
3065,Dactolisib; NVP-BEZ235,Most predictable,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor","MTOR inhibitor, PI3K inhibitor"
3065,Dactolisib; NVP-BEZ235,Most predictable,"MTOR inhibitor, PI3K inhibitor; mTOR inhibitor | PI3K inhibitor",mTOR inhibitor | PI3K inhibitor
3637,Pitavastatin Calcium; pitavastatin,Most predictable,HMGCR inhibitor,HMGCR inhibitor
2953,PF-03758309; PF-3758309,Most predictable,P21 activated kinase inhibitor; p21 activated kinase inhibitor,P21 activated kinase inhibitor
2953,PF-03758309; PF-3758309,Most predictable,P21 activated kinase inhibitor; p21 activated kinase inhibitor,p21 activated kinase inhibitor
5360,"[(6R,7S,8R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate; mitomycin-c",Most predictable,DNA alkylating agent | DNA synthesis inhibitor,DNA alkylating agent | DNA synthesis inhibitor
1956,Lrrk2-IN-1; XMD-1150,Most predictable,Leucine rich repeat kinase inhibitor; leucine rich repeat kinase inhibitor,Leucine rich repeat kinase inhibitor
1956,Lrrk2-IN-1; XMD-1150,Most predictable,Leucine rich repeat kinase inhibitor; leucine rich repeat kinase inhibitor,leucine rich repeat kinase inhibitor
267,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",Most predictable,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin inhibitor
267,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",Most predictable,Tubulin inhibitor; tubulin polymerization inhibitor,tubulin polymerization inhibitor
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Most predictable,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,Calcineurin inhibitor
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Most predictable,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,FKBP12 gene modulator
136,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone; Tacrolimus",Most predictable,FKBP12 gene modulator;Calcineurin inhibitor; calcineurin inhibitor,calcineurin inhibitor
424,PHA-793887; Pha-793887,Most predictable,CDK inhibitor,CDK inhibitor
1760,Hydroflumethiazide; reserpine; mepireserpate,Most predictable,Catecholamine depleting sympatholytic,Catecholamine depleting sympatholytic
2545,Strophanthidin; strophanthidin,Most predictable,ATPase inhibitor,ATPase inhibitor
4657,SN-38,Most predictable,Topoisomerase inhibitor,Topoisomerase inhibitor
1278,Ascomycin; sirolimus,Most predictable,MTOR inhibitor; mTOR inhibitor,MTOR inhibitor
1278,Ascomycin; sirolimus,Most predictable,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
4915,lestaurtinib,Most predictable,"Growth factor receptor inhibitor, JAK inhibitor, FLT3 inhibitor","Growth factor receptor inhibitor, JAK inhibitor, FLT3 inhibitor"
242,Docetaxel,Most predictable,inhibitor/antagonist; tubulin polymerization inhibitor,inhibitor/antagonist
242,Docetaxel,Most predictable,inhibitor/antagonist; tubulin polymerization inhibitor,tubulin polymerization inhibitor
736,Thapsigargin; thapsigargin,Most predictable,ATPase inhibitor,ATPase inhibitor
4757,alvespimycin,Most predictable,HSP inhibitor,HSP inhibitor
743,"(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone; Apicidin",Most predictable,HDAC inhibitor,HDAC inhibitor
527,Triptolide (PG490); triptolide,Most predictable,RNA polymerase inhibitor,RNA polymerase inhibitor
5349,"bruceantin; methyl (1R,2S,3R,6R,8S,13S,14R,15R,16S,17S)-3-[(E)-3,4-dimethylpent-2-enoyl]oxy-15,16-dihydroxy-9,13-dimethyl-4,10,11-trioxo-5,18-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecane-17-carboxylate",Most predictable,protein synthesis inhibitor,protein synthesis inhibitor
2090,KU-0063794; Ku-0063794,Most predictable,MTOR inhibitor; mTOR inhibitor,MTOR inhibitor
2090,KU-0063794; Ku-0063794,Most predictable,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
2385,5-(6-((4-Methyl-1-piperazinyl)methyl)-1H-benzimidazol-1-yl)-3-((1R)-1-(2-(trifluoromethyl)phenyl)ethoxy)-2-thiophenecarboxamide; GSK-461364,Least predictable,PLK inhibitor,PLK inhibitor
2026,"(8aR,9R)-5-[[(2R,4aR,6R,7R,8R)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one; teniposide",Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,Topoisomerase inhibitor
2026,"(8aR,9R)-5-[[(2R,4aR,6R,7R,8R)-7,8-dihydroxy-2-thiophen-2-yl-4,4a,6,7,8,8a-hexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy]-9-(4-hydroxy-3,5-dimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofuro[6,5-f][1,3]benzodioxol-8-one; teniposide",Most predictable,Topoisomerase inhibitor; topoisomerase inhibitor,topoisomerase inhibitor
930,"(R)-2,4,6-Trimethyl-deca-2,4-dienoic acid {(1S,5S,6R)-5-hydroxy-5-[(1E,3E,5E)-6-(2-hydroxy-5-oxo-cyclopent-1-enylcarbamoyl)-hexa-1,3,5-trienyl]-2-oxo-7-oxa-bicyclo[4.1.0]hept-3-en-3-yl}-amide; manumycin-a",Most predictable,"Farnesyltransferase inhibitor, NFKB pathway inhibitor","Farnesyltransferase inhibitor, NFKB pathway inhibitor"
1905,Cabazitaxel (Jevtana); cabazitaxel,Most predictable,microtubule inhibitor,microtubule inhibitor
812,Valrubicin; valrubicin,Most predictable,"DNA inhibitor | topoisomerase inhibitor; Topoisomerase inhibitor, DNA inhibitor",DNA inhibitor | topoisomerase inhibitor
812,Valrubicin; valrubicin,Most predictable,"DNA inhibitor | topoisomerase inhibitor; Topoisomerase inhibitor, DNA inhibitor","Topoisomerase inhibitor, DNA inhibitor"
260,"4,15-Diacetoxyscirpen-3-ol; anguidine",Most predictable,Protein synthesis inhibitor; apoptosis stimulant | protein synthesis inhibitor,Protein synthesis inhibitor
260,"4,15-Diacetoxyscirpen-3-ol; anguidine",Most predictable,Protein synthesis inhibitor; apoptosis stimulant | protein synthesis inhibitor,apoptosis stimulant | protein synthesis inhibitor
737,Ingenol Mebutate; ingenol-mebutate,Most predictable,PKC activator,PKC activator
3547,5-Azacytidine; Azacitidine; Azacytidine,Most predictable,DNA methyltransferase inhibitor; inhibitor/antagonist,DNA methyltransferase inhibitor
3547,5-Azacytidine; Azacitidine; Azacytidine,Most predictable,DNA methyltransferase inhibitor; inhibitor/antagonist,inhibitor/antagonist
253,"[2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate; fluocinolone-acetonide",Most predictable,"Glucocorticoid receptor agonist, Corticosteroid agonist; glucocorticoid receptor agonist","Glucocorticoid receptor agonist, Corticosteroid agonist"
253,"[2-[(4R,8S,9S,11S,12R,13S,19S)-12,19-Difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate; fluocinolone-acetonide",Most predictable,"Glucocorticoid receptor agonist, Corticosteroid agonist; glucocorticoid receptor agonist",glucocorticoid receptor agonist
762,Fluticasone Propionate; fluticasone-propionate,Most predictable,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,Glucocorticoid receptor agonist
762,Fluticasone Propionate; fluticasone-propionate,Most predictable,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,glucocorticoid receptor agonist
2430,"5-[(3S,10R,13R,14S,17R)-14-hydroxy-10,13-dimethyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-1,2,3,6,7,8,9,11,12,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pyran-2-one; proscillaridin",Most predictable,ATPase inhibitor,ATPase inhibitor
942,Parbendazole; parbendazole,Least predictable,Tubulin inhibitor; tubulin polymerization inhibitor,Tubulin inhibitor
942,Parbendazole; parbendazole,Least predictable,Tubulin inhibitor; tubulin polymerization inhibitor,tubulin polymerization inhibitor
1678,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",Most predictable,"CDK inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, CDK inhibitor",CDK inhibitor | growth factor receptor inhibitor
1678,"N,1,4,4-Tetramethyl-8-((4-(4-methylpiperazin-1-yl)phenyl)amino)-4,5-dihydro-1H-pyrazolo(4,3-h)quinazoline-3-carboxamide; PHA-848125",Most predictable,"CDK inhibitor | growth factor receptor inhibitor; Growth factor receptor inhibitor, CDK inhibitor","Growth factor receptor inhibitor, CDK inhibitor"
1914,"(1R,9S,12S,15R,16Z,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-12-[(2R)-1-[(1S,3R,4R)-4-dimethylphosphoryloxy-3-methoxycyclohexyl]propan-2-yl]-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; deforolimus",Most predictable,MTOR inhibitor; mTOR inhibitor,MTOR inhibitor
1914,"(1R,9S,12S,15R,16Z,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-12-[(2R)-1-[(1S,3R,4R)-4-dimethylphosphoryloxy-3-methoxycyclohexyl]propan-2-yl]-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; deforolimus",Most predictable,MTOR inhibitor; mTOR inhibitor,mTOR inhibitor
4440,GDC-0068,Most predictable,Akt inhibitor,Akt inhibitor
2277,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",Most predictable,Topoisomerase inhibitor; dna polymerase inhibitor | topoisomerase inhibitor,Topoisomerase inhibitor
2277,"(7R,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; doxorubicin",Most predictable,Topoisomerase inhibitor; dna polymerase inhibitor | topoisomerase inhibitor,dna polymerase inhibitor | topoisomerase inhibitor
1312,Birinapant; birinapant,Most predictable,XIAP inhibitor,XIAP inhibitor
109,N-[3-[[2-[[4-(dimethylamino)cyclohexyl]amino]-9-propan-2-yl-6-purinyl]amino]phenyl]-2-propenamide; WZ-3105,Least predictable,CLK inhibitor,CLK inhibitor
642,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid; Doconexent",Least predictable,PPAR receptor agonist; PPARalpha Agonists,PPAR receptor agonist
642,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid; Doconexent",Least predictable,PPAR receptor agonist; PPARalpha Agonists,PPARalpha Agonists
722,"6,9-difluoro-11-hydroxy-17-(3-hydroxy-2-oxopropyl)-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthrene-17-carbothioic acid S-(fluoromethyl) ester; fluticasone",Most predictable,Glucocorticoid receptor agonist,Glucocorticoid receptor agonist
1724,"(9S,10R,11R,13R)-2,3,10,11,12,13-hexahydro-10-methoxy-9-methyl-11-(methylamino)-9,13-epoxy-1H,9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-1-one; staurosporine",Most predictable,PKC inhibitor,PKC inhibitor
1921,Mycophenolate Mofetil; mycophenolate-mofetil,Most predictable,"Dehydrogenase inhibitor, IMPDH inhibitor, IMPase inhibitor, Hydroxycarboxylic acid receptor agonist, Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor","Dehydrogenase inhibitor, IMPDH inhibitor, IMPase inhibitor, Hydroxycarboxylic acid receptor agonist, Immunosuppressant"
1921,Mycophenolate Mofetil; mycophenolate-mofetil,Most predictable,"Dehydrogenase inhibitor, IMPDH inhibitor, IMPase inhibitor, Hydroxycarboxylic acid receptor agonist, Immunosuppressant; dehydrogenase inhibitor | inositol monophosphatase inhibitor",dehydrogenase inhibitor | inositol monophosphatase inhibitor
3995,6-Bromoindirubin-3'-oxime; BRD-K04923131,Least predictable,glycogen synthase kinase inhibitor | lipoxygenase inhibitor,glycogen synthase kinase inhibitor | lipoxygenase inhibitor
3780,Adarotene; adarotene,Least predictable,Retinoid receptor agonist; retinoid receptor agonist,Retinoid receptor agonist
3780,Adarotene; adarotene,Least predictable,Retinoid receptor agonist; retinoid receptor agonist,retinoid receptor agonist
2934,Taselisib; taselisib,Most predictable,PI3K inhibitor,PI3K inhibitor
3006,"(6S)-4-(4-Chlorophenyl)-N-(4-hydroxyphenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetamide; OTX-015",Most predictable,bromodomain inhibitor,bromodomain inhibitor
710,"(4-Benzoyloxy-5,6-dihydroxy-3,11,11,14-tetramethyl-15-oxo-7-tetracyclo[7.5.1.01,5.010,12]pentadeca-2,7-dienyl)methyl benzoate; ingenol",Most predictable,PKC activator,PKC activator
3316,AZD-5363; Capivasertib,Least predictable,AKT inhibitor,AKT inhibitor
1796,"BRD-K22848513; methyl (4aS,6aR,6bS,8aR,12aR,14aS,14bR)-11-cyano-2,2,6a,6b,9,9,12a-heptamethyl-10,14-dioxo-1,3,4,5,6,7,8,8a,14a,14b-decahydropicene-4a-carboxylate",Most predictable,"nuclear factor erythroid derived, like (NRF2) activator","nuclear factor erythroid derived, like (NRF2) activator"
3150,"1,3-Benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile; AS-601245",Least predictable,JNK inhibitor,JNK inhibitor
1280,"(1R,4E,5'R,6R,6'R,7S,8R,10S,11S,12R,14S,15R,16S,18E,20E,22S,25S,27R,28R,29S)-22-ethyl-7,11,14,15-tetrahydroxy-6'-[(2R)-2-hydroxypropyl]-5',6,8,10,12,14,16,28,29-nonamethylspiro[2,26-dioxabicyclo[23.3.1]nonacosa-4,18,20-triene-27,2'-oxane]-3,9,13-trione; oligomycin-a",Most predictable,"ATP synthase inhibitor, ATPase inhibitor; ATPase inhibitor | ATP synthase inhibitor","ATP synthase inhibitor, ATPase inhibitor"
1280,"(1R,4E,5'R,6R,6'R,7S,8R,10S,11S,12R,14S,15R,16S,18E,20E,22S,25S,27R,28R,29S)-22-ethyl-7,11,14,15-tetrahydroxy-6'-[(2R)-2-hydroxypropyl]-5',6,8,10,12,14,16,28,29-nonamethylspiro[2,26-dioxabicyclo[23.3.1]nonacosa-4,18,20-triene-27,2'-oxane]-3,9,13-trione; oligomycin-a",Most predictable,"ATP synthase inhibitor, ATPase inhibitor; ATPase inhibitor | ATP synthase inhibitor",ATPase inhibitor | ATP synthase inhibitor
2703,Tozasertib; tozasertib,Least predictable,"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor; Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor","Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor"
2703,Tozasertib; tozasertib,Least predictable,"Abl kinase inhibitor, Aurora kinase inhibitor, JAK inhibitor, FLT3 inhibitor; Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor",Aurora kinase inhibitor | Bcr-Abl kinase inhibitor | FLT3 inhibitor | JAK inhibitor
170,Epothilone-B; epothilone-b,Most predictable,"Microtubule stabilizing agent, Tubulin inhibitor, Microtubule stimulant; microtubule stabilizing agent | tubulin polymerization inhibitor","Microtubule stabilizing agent, Tubulin inhibitor, Microtubule stimulant"
170,Epothilone-B; epothilone-b,Most predictable,"Microtubule stabilizing agent, Tubulin inhibitor, Microtubule stimulant; microtubule stabilizing agent | tubulin polymerization inhibitor",microtubule stabilizing agent | tubulin polymerization inhibitor
1992,"2-[2-Methoxy-4-(4-methyl-1-piperazinyl)anilino]-5,11-dimethyl-6-pyrimido[4,5-b][1,4]benzodiazepinone; XMD-885",Most predictable,"MAP kinase inhibitor; MAP kinase inhibitor, Leucine rich repeat kinase inhibitor",MAP kinase inhibitor
1992,"2-[2-Methoxy-4-(4-methyl-1-piperazinyl)anilino]-5,11-dimethyl-6-pyrimido[4,5-b][1,4]benzodiazepinone; XMD-885",Most predictable,"MAP kinase inhibitor; MAP kinase inhibitor, Leucine rich repeat kinase inhibitor","MAP kinase inhibitor, Leucine rich repeat kinase inhibitor"
114,WZ-4002,Least predictable,EGFR inhibitor,EGFR inhibitor
255,"[2-[(1R,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-9,13-dimethyl-16-oxospiro[5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-diene-6,1'-cyclopentane]-8-yl]-2-oxoethyl] acetate; amcinonide",Most predictable,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,Glucocorticoid receptor agonist
255,"[2-[(1R,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-9,13-dimethyl-16-oxospiro[5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-diene-6,1'-cyclopentane]-8-yl]-2-oxoethyl] acetate; amcinonide",Most predictable,Glucocorticoid receptor agonist; glucocorticoid receptor agonist,glucocorticoid receptor agonist
3782,Caffeic Acid; caffeic-acid,Least predictable,"HIV integrase inhibitor | lipoxygenase inhibitor | nitric oxide production inhibitor | tumor necrosis factor production inhibitor; Nitric oxide production inhibitor, PPAR receptor modulator, NFKB pathway inhibitor, TNF production inhibitor, Tumor necrosis factor production inhibitor, HIV integrase inhibitor, Lipoxygenase inhibitor",HIV integrase inhibitor | lipoxygenase inhibitor | nitric oxide production inhibitor | tumor necrosis factor production inhibitor
3782,Caffeic Acid; caffeic-acid,Least predictable,"HIV integrase inhibitor | lipoxygenase inhibitor | nitric oxide production inhibitor | tumor necrosis factor production inhibitor; Nitric oxide production inhibitor, PPAR receptor modulator, NFKB pathway inhibitor, TNF production inhibitor, Tumor necrosis factor production inhibitor, HIV integrase inhibitor, Lipoxygenase inhibitor","Nitric oxide production inhibitor, PPAR receptor modulator, NFKB pathway inhibitor, TNF production inhibitor, Tumor necrosis factor production inhibitor, HIV integrase inhibitor, Lipoxygenase inhibitor"
351,"4-[3-(3,5-Ditert-butylphenyl)-3-oxoprop-1-enyl]benzoic acid; SA-792709",Least predictable,Retinoid receptor agonist,Retinoid receptor agonist
2778,Meclofenamic Acid; meclofenamic-acid,Least predictable,"Cyclooxygenase inhibitor, Prostanoid receptor antagonist; cyclooxygenase inhibitor | prostanoid receptor antagonist","Cyclooxygenase inhibitor, Prostanoid receptor antagonist"
2778,Meclofenamic Acid; meclofenamic-acid,Least predictable,"Cyclooxygenase inhibitor, Prostanoid receptor antagonist; cyclooxygenase inhibitor | prostanoid receptor antagonist",cyclooxygenase inhibitor | prostanoid receptor antagonist
3973,Tivantinib; tivantinib,Most predictable,Tyrosine kinase inhibitor; tyrosine kinase inhibitor,Tyrosine kinase inhibitor
3973,Tivantinib; tivantinib,Most predictable,Tyrosine kinase inhibitor; tyrosine kinase inhibitor,tyrosine kinase inhibitor
2069,"1-[2-chloro-4-(6,7-dimethoxyquinolin-4-yl)oxyphenyl]-3-(5-methyl-1,2-oxazol-3-yl)urea; Tivozanib; tivozanib",Least predictable,Angiogenesis Inhibitors;VEGFR-2 (FLK-1/KDR) Inhibitors;VEGFR-3 (FLT4) Inhibitors;VEGFR-1 (Flt-1) Inhibitors; VEGFR inhibitor,Angiogenesis Inhibitors
2069,"1-[2-chloro-4-(6,7-dimethoxyquinolin-4-yl)oxyphenyl]-3-(5-methyl-1,2-oxazol-3-yl)urea; Tivozanib; tivozanib",Least predictable,Angiogenesis Inhibitors;VEGFR-2 (FLK-1/KDR) Inhibitors;VEGFR-3 (FLT4) Inhibitors;VEGFR-1 (Flt-1) Inhibitors; VEGFR inhibitor,VEGFR inhibitor
2069,"1-[2-chloro-4-(6,7-dimethoxyquinolin-4-yl)oxyphenyl]-3-(5-methyl-1,2-oxazol-3-yl)urea; Tivozanib; tivozanib",Least predictable,Angiogenesis Inhibitors;VEGFR-2 (FLK-1/KDR) Inhibitors;VEGFR-3 (FLT4) Inhibitors;VEGFR-1 (Flt-1) Inhibitors; VEGFR inhibitor,VEGFR-1 (Flt-1) Inhibitors
